phoneme,count
x,1164
f,584
ç,241
h,140
ʂ,98
s,85
χ,75
xʷ,40
xː,26
xʲ,13
fʰ,13
xʰ,11
xʼ,8
çː,6
fʼ,6
ʂː,5
sʲ,5
fː,5
fʲ,5
hː,4
çʷ,3
χʷ,3
sʷ,3
χː,3
çʲ,3
sː,2
hʷ,2
χʼ,2
χʰ,2
f̰,2
fʷ,2
fˤ,1
fʲʰ,1
ʂʰ,1
xʷʲ,1
ʰχʰ,1
ʰfʰ,1
ʰxʰ,1
xʷː,1
çʰ,1
çʼ,1
fʼː,1
xʼː,1
ns,1
s̰,1
sʼ,1
