Phoneme,Count
bv,165
dz,96
ɡɣ,88
ɢʁ,31
d̪ð,20
d̠ʒ,14
ɟʝ,11
ɖɽ,9
dzː,4
mbv,1
dzʲ,1
dʑ,1
