Phoneme,Count
kf,402
ts,225
kx,208
qχ,83
ʈʂ,46
t̠ʃ,41
t̪θ,40
cç,26
tsː,5
tɕ,5
mpf,4
nts,3
tsʷ,3
kxʰ,3
pfʼ,1
qχʼ,1
n̠t̠ʃ,1
cçː,1
ʈʂː,1
tsʲ,1
